Prompt,Query
Find event actions performed by a specific user,"updated by a different specific user, and within a specific date range, ordered by the action date in descending order and limited to 20 rows.,SELECT * FROM event_actions WHERE user_id = 123 AND updated_by = 456 AND action_date BETWEEN '2023-06-01' AND '2023-06-30' ORDER BY action_date DESC LIMIT 20;"
Retrieve events created by a specific user,"organization ID, and closed within the last week, ordered by the event type ID in ascending order and limited to 50 rows.,SELECT * FROM events WHERE users_id = 123 AND organization_id = 456 AND date_closed >= NOW() - INTERVAL '7 days' ORDER BY events_type_id ASC LIMIT 50;"
Retrieve pharmacies with a specific name,"activated by a specific user, and disabled after a certain date, ordered by their names in ascending order and limited to 15 rows.,SELECT * FROM pharmacies WHERE name = 'Pharmacy ABC' AND activated_by = 123 AND date_disabled > '2023-01-01' ORDER BY name ASC LIMIT 15;"
Retrieve pharmacies with a specific name,"activated by a specific user, disabled after a certain date, and ordered by their names in ascending order.,SELECT * FROM pharmacies WHERE name = 'Pharmacy ABC' AND activated_by = 123 AND date_disabled > '2023-01-01' ORDER BY name ASC;"
Retrieve the names and IDs of staff members who are active,"belong to a specific organization, and have been updated in the last 3 months.,SELECT full_name, id FROM staff_directory WHERE is_active = 1 AND org_id = 123 AND updated_at >= NOW() - INTERVAL '3 months';"
Find assets that are active,"belong to a specific organization, have a specific asset type ID, and have a serial number starting with 'ABC'.,SELECT * FROM assets WHERE active = 1 AND organizations_id = 456 AND asset_type_id = 789 AND serial_number LIKE 'ABC%';"
"Get hazards with a description containing the word ""fire"" and created in the last 6 months","ordered by their created dates in descending order.,SELECT * FROM hazards WHERE description LIKE '%fire%' AND created_at >= NOW() - INTERVAL '6 months' ORDER BY created_at DESC;"
Retrieve the names and orders of event staff roles for a specific form ID and facility ID,"excluding the ones with a specific name.,SELECT name, order FROM event_staff_roles WHERE forms_id = 789 AND facility_id = 456 AND name NOT LIKE '%Admin%';"
Find event actions performed by a specific user and within a specific date range,"ordered by the action date in descending order, and limited to 50 rows.,SELECT * FROM event_actions WHERE user_id = 123 AND action_date BETWEEN '2023-06-01' AND '2023-06-30' ORDER BY action_date DESC LIMIT 50;"
Get form settings summary tools for a specific form ID,"facility ID, and organization ID, ordered by the tools ID in ascending order, and limited to 10 rows.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND facility_id = 456 AND organization_id = 123 ORDER BY tools_id ASC LIMIT 10;"
Retrieve events created by a specific user,"organization ID, and closed within the last month, ordered by the event type ID in ascending order, and limited to 20 rows.,SELECT * FROM events WHERE users_id = 123 AND organization_id = 456 AND date_closed >= NOW() - INTERVAL '1 month' ORDER BY events_type_id ASC LIMIT 20;"
Retrieve pharmacies with a specific name,"activated by a specific user, disabled after a certain date, ordered by their names in ascending order, and limited to 15 rows.,SELECT * FROM pharmacies WHERE name = 'Pharmacy ABC' AND activated_by = 123 AND date_disabled > '2023-01-01' ORDER BY name ASC LIMIT 15;"
Retrieve the user IDs and full names of staff members who have an official user ID,"belong to a specific organization, and have an active status.,SELECT id, full_name FROM staff_directory WHERE official_user_id IS NOT NULL AND org_id = 123 AND is_active = 1;"
Retrieve the full names of staff members who have an official user ID.,SELECT full_name FROM staff_directory WHERE official_user_id IS NOT NULL;
Find assets that have been updated in the last 7 days.,SELECT * FROM assets WHERE updated_at >= NOW() - INTERVAL 7 DAYS;
Get hazards with a description longer than 100 characters.,SELECT * FROM hazards WHERE LENGTH(description) > 100;
Retrieve the names and orders of event staff roles in alphabetical order.,"SELECT name, `order` FROM event_staff_roles ORDER BY name ASC;"
Find event actions that were updated by a specific user.,SELECT * FROM event_actions WHERE updated_by = 123;
Get form settings summary tools for a specific organization ID.,SELECT * FROM formsettings_summarytools WHERE organization_id = 456;
Retrieve events that are still open.,SELECT * FROM events WHERE is_open = 1;
Find users with a specific type and created after a certain date.,SELECT * FROM users WHERE type = 'admin' AND date_created > '2023-01-01';
Get organizations located in a specific city.,SELECT * FROM organizations WHERE city = 'New York';
Retrieve pharmacies that were activated by a specific user.,SELECT * FROM pharmacies WHERE activated_by = 123;
Find assets that are currently active and have a serial number starting with 'ABC'.,SELECT * FROM assets WHERE active = 1 AND serial_number LIKE 'ABC%';
Get hazards created in the last 30 days and belong to a specific organization.,SELECT * FROM hazards WHERE created_at >= NOW() - INTERVAL 30 DAYS AND organizations_id = 789;
Retrieve the names and IDs of staff members ordered by their full names in ascending order.,"SELECT full_name, id FROM staff_directory ORDER BY full_name ASC;"
Find assets with a specific asset item ID and belong to a specific organization.,SELECT * FROM assets WHERE asset_items_id = 123 AND organizations_id = 456;
"Get hazards with a description containing the word ""safety"" and created in the last 6 months.",SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_at >= NOW() - INTERVAL 6 MONTHS;
Retrieve all event staff roles with a specific order.,SELECT * FROM event_staff_roles WHERE `order` = 1;
Find event actions for a specific event ID and user ID.,SELECT * FROM event_actions WHERE events_id = 123 AND user_id = 456;
Get form settings summary tools for a specific form ID and updated by a specific user.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND updated_by = 123;
Retrieve events that have a specific event type ID and created by a specific user.,SELECT * FROM events WHERE events_type_id = 123 AND users_id = 456;
Find users with a specific profile ID and active status.,SELECT * FROM users WHERE profiles_id = 123 AND active = 1;
Get organizations created after a certain date and located in a specific country.,SELECT * FROM organizations WHERE date_created > '2023-01-01' AND countries_id = 123;
Retrieve pharmacies with a specific organization ID and created before a certain date.,SELECT * FROM pharmacies WHERE organizations_id = 123 AND date_created < '2023-01-01';
Find assets that were updated in the last 7 days and belong to a specific organization.,SELECT * FROM assets WHERE updated_at >= NOW() - INTERVAL 7 DAYS AND organizations_id = 123;
Get hazards with a description shorter than 50 characters and created by a specific pharmacy.,SELECT * FROM hazards WHERE LENGTH(description) < 50 AND pharmacies_id = 456;
Retrieve the names and orders of event staff roles ordered by their orders in descending order.,"SELECT name, `order` FROM event_staff_roles ORDER BY `order` DESC;"
Find event actions that were updated by a specific user and created after a certain date.,SELECT * FROM event_actions WHERE updated_by = 123 AND date_created > '2023-01-01';
Get form settings summary tools for a specific facility ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE facility_id = 123 AND organization_id = 456;
Retrieve events that are still open and created by a specific user.,SELECT * FROM events WHERE is_open = 1 AND users_id = 123;
Find users with a specific type and created between two dates.,SELECT * FROM users WHERE type = 'admin' AND date_created BETWEEN '2023-01-01' AND '2023-01-31';
Get organizations located in a specific city and created after a certain date.,SELECT * FROM organizations WHERE city = 'London' AND date_created > '2023-01-01';
Retrieve pharmacies that were activated by a specific user and created before a certain date.,SELECT * FROM pharmacies WHERE activated_by = 123 AND date_created < '2023-01-01';
Find assets that are currently active and have a serial number ending with 'XYZ'.,SELECT * FROM assets WHERE active = 1 AND serial_number LIKE '%XYZ';
Get hazards created in the last 30 days and have a specific organization ID.,SELECT * FROM hazards WHERE created_at >= NOW() - INTERVAL 30 DAYS AND organizations_id = 123;
Retrieve the names and IDs of staff members ordered by their IDs in ascending order.,"SELECT full_name, id FROM staff_directory ORDER BY id ASC;"
Find assets with a specific asset item ID,"belong to a specific organization, and have a certain serial number.,SELECT * FROM assets WHERE asset_items_id = 123 AND organizations_id = 456 AND serial_number = 'XYZ';"
"Get hazards with a description containing the word ""safety"" and created in the last 6 months","ordered by their names in ascending order.,SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_at >= NOW() - INTERVAL 6 MONTHS ORDER BY name ASC;"
Retrieve all event staff roles with a specific order and form ID.,SELECT * FROM event_staff_roles WHERE `order` = 1 AND forms_id = 123;
Find event actions for a specific event ID,"user ID, and action date within a specific date range.,SELECT * FROM event_actions WHERE events_id = 123 AND user_id = 456 AND action_date BETWEEN '2023-01-01' AND '2023-12-31';"
Get form settings summary tools for a specific form ID,"updated by a specific user, and belong to a specific organization.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND updated_by = 123 AND organization_id = 456;"
Retrieve events that have a specific event type ID,"created by a specific user, and closed within the last month.,SELECT * FROM events WHERE events_type_id = 123 AND users_id = 456 AND date_closed >= NOW() - INTERVAL 1 MONTH;"
Find users with a specific profile ID,"active status, and created after a certain date, ordered by their full names in ascending order.,SELECT * FROM users WHERE profiles_id = 123 AND active = 1 AND date_created > '2023-01-01' ORDER BY full_name ASC;"
Get organizations created after a certain date,"located in a specific country, and have a trial end date in the future.,SELECT * FROM organizations WHERE date_created > '2023-01-01' AND countries_id = 123 AND trial_ends_at > NOW();"
Retrieve pharmacies with a specific organization ID,"created before a certain date, and activated by a specific user.,SELECT * FROM pharmacies WHERE organizations_id = 123 AND date_created < '2023-01-01' AND activated_by = 456;"
Find assets that were updated in the last 7 days,"belong to a specific organization, and have a certain asset type ID.,SELECT * FROM assets WHERE updated_at >= NOW() - INTERVAL 7 DAYS AND organizations_id = 123 AND asset_type_id = 456;"
Get hazards with a description shorter than 50 characters,"created by a specific pharmacy, and belong to a specific organization.,SELECT * FROM hazards WHERE LENGTH(description) < 50 AND pharmacies_id = 456 AND organizations_id = 789;"
Retrieve the names and orders of event staff roles ordered by their names in descending order.,"SELECT name, `order` FROM event_staff_roles ORDER BY name DESC;"
Find event actions that were updated by a specific user,"created after a certain date, and belong to a specific event.,SELECT * FROM event_actions WHERE updated_by = 123 AND date_created > '2023-01-01' AND events_id = 456;"
Get form settings summary tools for a specific facility ID,"organization ID, and updated by a specific user.,SELECT * FROM formsettings_summarytools WHERE facility_id = 123 AND organization_id = 456 AND updated_by = 789;"
Retrieve events that are still open,"created by a specific user, and closed within the last week.,SELECT * FROM events WHERE is_open = 1 AND users_id = 123 AND date_closed >= NOW() - INTERVAL '7 days';"
Find users with a specific type,"active status, and created between two dates, ordered by their full names in ascending order.,SELECT * FROM users WHERE type = 'admin' AND active = 1 AND date_created BETWEEN '2023-01-01' AND '2023-01-31' ORDER BY full_name ASC;"
Get organizations located in a specific city,"created after a certain date, and have a trial end date in the future.,SELECT * FROM organizations WHERE city = 'London' AND date_created > '2023-01-01' AND trial_ends_at > NOW();"
Retrieve pharmacies that were activated by a specific user,"created before a certain date, and disabled after a certain date.,SELECT * FROM pharmacies WHERE activated_by = 123 AND date_created < '2023-01-01' AND date_disabled > '2023-01-01';"
Find assets that are currently active,"have a serial number ending with 'XYZ', and belong to a specific organization.,SELECT * FROM assets WHERE active = 1 AND serial_number LIKE '%XYZ' AND organizations_id = 123;"
"Get hazards with a description containing the word ""safety""","created in the last 6 months, and belong to a specific pharmacy.,SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_at >= NOW() - INTERVAL 6 MONTHS AND pharmacies_id = 789;"
Retrieve the names and IDs of staff members ordered by their IDs in descending order.,"SELECT full_name, id FROM staff_directory ORDER BY id DESC;"
Find assets with a specific asset item ID,"belong to a specific organization, have a certain serial number, and were updated by a specific user.,SELECT * FROM assets WHERE asset_items_id = 123 AND organizations_id = 456 AND serial_number = 'XYZ' AND updated_by = 789;"
Retrieve all event staff roles with a specific order and form ID,"ordered by their names in descending order.,SELECT * FROM event_staff_roles WHERE `order` = 1 AND forms_id = 123 ORDER BY name DESC;"
Find event actions for a specific event ID,"user ID, and action date within a specific date range, ordered by the action date in descending order.,SELECT * FROM event_actions WHERE events_id = 123 AND user_id = 456 AND action_date BETWEEN '2023-01-01' AND '2023-12-31' ORDER BY action_date DESC;"
Get form settings summary tools for a specific form ID,"updated by a specific user, and belong to a specific organization, ordered by the tools ID in ascending order.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND updated_by = 123 AND organization_id = 456 ORDER BY tools_id ASC;"
Retrieve events that have a specific event type ID,"created by a specific user, and closed within the last month, ordered by the event type ID in ascending order.,SELECT * FROM events WHERE events_type_id = 123 AND users_id = 456 AND date_closed >= NOW() - INTERVAL 1 MONTH ORDER BY events_type_id ASC;"
Get organizations created after a certain date,"located in a specific country, and have a trial end date in the future, ordered by their trial end dates in descending order.,SELECT * FROM organizations WHERE date_created > '2023-01-01' AND countries_id = 123 AND trial_ends_at > NOW() ORDER BY trial_ends_at DESC;"
Retrieve pharmacies with a specific organization ID,"created before a certain date, and activated by a specific user, ordered by their names in ascending order.,SELECT * FROM pharmacies WHERE organizations_id = 123 AND date_created < '2023-01-01' AND activated_by = 456 ORDER BY name ASC;"
Find assets that were updated in the last 7 days,"belong to a specific organization, and have a certain asset type ID, ordered by their serial numbers in ascending order.,SELECT * FROM assets WHERE updated_at >= NOW() - INTERVAL 7 DAYS AND organizations_id = 123 AND asset_type_id = 456 ORDER BY serial_number ASC;"
Get hazards with a description shorter than 50 characters,"created by a specific pharmacy, and belong to a specific organization, ordered by their names in ascending order.,SELECT * FROM hazards WHERE LENGTH(description) < 50 AND pharmacies_id = 456 AND organizations_id = 789 ORDER BY name ASC;"
Retrieve the names and orders of event staff roles ordered by their names in descending order,"and limited to 10 rows.,SELECT name, `order` FROM event_staff_roles ORDER BY name DESC LIMIT 10;"
Find event actions that were updated by a specific user,"created after a certain date, and belong to a specific event, ordered by the action date in descending order.,SELECT * FROM event_actions WHERE updated_by = 123 AND date_created > '2023-01-01' AND events_id = 456 ORDER BY action_date DESC;"
Get form settings summary tools for a specific facility ID,"organization ID, and updated by a specific user, ordered by the tools ID in ascending order, and limited to 5 rows.,SELECT * FROM formsettings_summarytools WHERE facility_id = 123 AND organization_id = 456 AND updated_by = 789 ORDER BY tools_id ASC LIMIT 5;"
Retrieve events that are still open,"created by a specific user, and closed within the last week, ordered by the event type ID in ascending order.,SELECT * FROM events WHERE is_open = 1 AND users_id = 123 AND date_closed >= NOW() - INTERVAL '7 days' ORDER BY events_type_id ASC;"
Find users with a specific type,"active status, and created between two dates, ordered by their full names in ascending order, and limited to 30 rows.,SELECT * FROM users WHERE type = 'admin' AND active = 1 AND date_created BETWEEN '2023-01-01' AND '2023-01-31' ORDER BY full_name ASC LIMIT 30;"
Get organizations located in a specific city,"created after a certain date, and have a trial end date in the future, ordered by their trial end dates in descending order, and limited to 10 rows.,SELECT * FROM organizations WHERE city = 'London' AND date_created > '2023-01-01' AND trial_ends_at > NOW() ORDER BY trial_ends_at DESC LIMIT 10;"
Retrieve pharmacies that were activated by a specific user,"created before a certain date, and disabled after a certain date, ordered by their names in ascending order.,SELECT * FROM pharmacies WHERE activated_by = 123 AND date_created < '2023-01-01' AND date_disabled > '2023-01-01' ORDER BY name ASC;"
Find assets that are currently active,"have a serial number ending with 'XYZ', and belong to a specific organization, ordered by their asset items ID in ascending order.,SELECT * FROM assets WHERE active = 1 AND serial_number LIKE '%XYZ' AND organizations_id = 123 ORDER BY asset_items_id ASC;"
"Get hazards with a description containing the word ""safety""","created in the last 6 months, and belong to a specific pharmacy, ordered by their created dates in descending order.,SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_at >= NOW() - INTERVAL 6 MONTHS AND pharmacies_id = 789 ORDER BY created_at DESC;"
Retrieve the names and IDs of staff members ordered by their IDs in descending order,"and limited to 20 rows.,SELECT full_name, id FROM staff_directory ORDER BY id DESC LIMIT 20;"
Find assets with a specific asset item ID,"belong to a specific organization, have a certain serial number, and were updated by a specific user, ordered by their updated dates in descending order.,SELECT * FROM assets WHERE asset_items_id = 123 AND organizations_id = 456 AND serial_number = 'XYZ' AND updated_by = 789 ORDER BY updated_at DESC;"
Retrieve the staff directory for user_id '12345'.,SELECT * FROM staff_directory WHERE user_id = '12345';
Get the assets with an active status.,SELECT * FROM assets WHERE active = true;
Find hazards associated with pharmacies_id '9876'.,SELECT * FROM hazards WHERE pharmacies_id = '9876';
Get the event staff roles with the default flag set.,SELECT * FROM event_staff_roles WHERE is_default = true;
Retrieve event actions performed by user_id '5678'.,SELECT * FROM event_actions WHERE user_id = '5678';
Find form settings summary tools for facility_id '2468' and organization_id '1357'.,SELECT * FROM formsettings_summarytools WHERE facility_id = '2468' AND organization_id = '1357';
Retrieve users with active status and updated after '2023-01-01'.,SELECT * FROM users WHERE active = true AND date_updated > '2023-01-01';
Find organizations located in the city 'New York'.,SELECT * FROM organizations WHERE city = 'New York';
Get pharmacies activated by 'Pharmacist A'.,SELECT * FROM pharmacies WHERE activated_by = 'Pharmacist A';
Retrieve the staff directory for full_name 'John Smith'.,SELECT * FROM staff_directory WHERE full_name = 'John Smith';
Get hazards with the name 'Fire Hazard'.,SELECT * FROM hazards WHERE name = 'Fire Hazard';
Retrieve the event staff roles with the forms_id '456'.,SELECT * FROM event_staff_roles WHERE forms_id = '456';
Get event actions for events_id '789'.,SELECT * FROM event_actions WHERE events_id = '789';
Find form settings summary tools for organization_id '987' and facility_id '654'.,SELECT * FROM formsettings_summarytools WHERE organization_id = '987' AND facility_id = '654';
Get events reported by user_id '321'.,SELECT * FROM events WHERE reporters_id = '321';
Retrieve users of type 'Admin'.,SELECT * FROM users WHERE type = 'Admin';
Find organizations created after '2023-01-01'.,SELECT * FROM organizations WHERE created_at > '2023-01-01';
Get pharmacies in the city 'Los Angeles'.,SELECT * FROM pharmacies WHERE city = 'Los Angeles';
Retrieve the staff directory for user_id '54321'.,SELECT * FROM staff_directory WHERE user_id = '54321';
Find assets with asset_type_id '123'.,SELECT * FROM assets WHERE asset_type_id = '123';
Get hazards associated with pharmacies_id '65432'.,SELECT * FROM hazards WHERE pharmacies_id = '65432';
Get event actions performed by user_id '87654'.,SELECT * FROM event_actions WHERE user_id = '87654';
Find form settings summary tools for facility_id '23456' and organization_id '54321'.,SELECT * FROM formsettings_summarytools WHERE facility_id = '23456' AND organization_id = '54321';
Retrieve users with active status and updated after '2023-03-01'.,SELECT * FROM users WHERE active = true AND date_updated > '2023-03-01';
Find organizations located in the city 'Seattle'.,SELECT * FROM organizations WHERE city = 'Seattle';
Get pharmacies activated by 'Pharmacist B'.,SELECT * FROM pharmacies WHERE activated_by = 'Pharmacist B';
Retrieve the staff directory for user_id '98765'.,SELECT * FROM staff_directory WHERE user_id = '98765';
Get hazards associated with pharmacies_id '56789'.,SELECT * FROM hazards WHERE pharmacies_id = '56789';
Get event actions performed by user_id '45678'.,SELECT * FROM event_actions WHERE user_id = '45678';
Find form settings summary tools for facility_id '98765' and organization_id '87654'.,SELECT * FROM formsettings_summarytools WHERE facility_id = '98765' AND organization_id = '87654';
Retrieve users with active status and updated after '2023-06-01'.,SELECT * FROM users WHERE active = true AND date_updated > '2023-06-01';
Find organizations located in the city 'San Francisco'.,SELECT * FROM organizations WHERE city = 'San Francisco';
Get pharmacies activated by 'Pharmacist C'.,SELECT * FROM pharmacies WHERE activated_by = 'Pharmacist C';
Retrieve the staff directory for employee_id 'ABCDE'.,SELECT * FROM staff_directory WHERE employee_id = 'ABCDE';
Get the assets with asset_items_id '123456'.,SELECT * FROM assets WHERE asset_items_id = '123456';
Find hazards with a description containing the word 'explosive'.,SELECT * FROM hazards WHERE description LIKE '%explosive%';
Get the event staff roles with the order greater than 5.,"SELECT * FROM event_staff_roles WHERE ""order"" > 5;"
Retrieve event actions performed by user_id '98765' and user_pharmacy_id '54321'.,SELECT * FROM event_actions WHERE user_id = '98765' AND user_pharmacy_id = '54321';
Find form settings summary tools for facility_id '2468' or organization_id '1357'.,SELECT * FROM formsettings_summarytools WHERE facility_id = '2468' OR organization_id = '1357';
Get events where the harmt is not null or prescribers_id is not null.,SELECT * FROM events WHERE harmt IS NOT NULL OR prescribers_id IS NOT NULL;
Retrieve users with active status and updated between '2023-01-01' and '2023-06-30'.,SELECT * FROM users WHERE is_active = true AND updated_at BETWEEN '2023-01-01' AND '2023-06-30';
Find organizations located in countries_id 10 or 15.,"SELECT * FROM organizations WHERE countries_id IN (10, 15);"
Get pharmacies activated after '2023-01-01' and activated_by 'Pharmacist X'.,SELECT * FROM pharmacies WHERE activate_at > '2023-01-01' AND activated_by = 'Pharmacist X';
Retrieve the staff directory for full_name 'Jane Doe' and fixed is true.,SELECT * FROM staff_directory WHERE full_name = 'Jane Doe' AND fixed = true;
Find assets with an active status and updated between '2023-01-01' and '2023-06-30'.,SELECT * FROM assets WHERE active = true AND updated_at BETWEEN '2023-01-01' AND '2023-06-30';
Get hazards with the name starting with 'Chemical'.,SELECT * FROM hazards WHERE name LIKE 'Chemical%';
Retrieve the event staff roles with the forms_id '789' and facility_id '654'.,SELECT * FROM event_staff_roles WHERE forms_id = '789' AND facility_id = '654';
Get event actions for events_id '987' and updated_by 'John Smith'.,SELECT * FROM event_actions WHERE events_id = '987' AND updated_by = 'John Smith';
Find form settings summary tools for organization_id '543' and updated_by 'Jane Doe'.,SELECT * FROM formsettings_summarytools WHERE organization_id = '543' AND updated_by = 'Jane Doe';
Get events reported by user_id '321' and harmt is not null.,SELECT * FROM events WHERE reporters_id = '321' AND harmt IS NOT NULL;
Retrieve users with type 'Admin' and active status is true.,SELECT * FROM users WHERE type = 'Admin' AND is_active = true AND updated_at BETWEEN '2023-01-01' AND '2023-06-30';
Find organizations created after '2023-01-01' and updated before '2023-06-30'.,SELECT * FROM organizations WHERE created_at > '2023-01-01' AND updated_at < '2023-06-30';
Get pharmacies in the city 'Los Angeles' and daye_enabled is not null.,SELECT * FROM pharmacies WHERE city = 'Los Angeles' AND daye_enabled IS NOT NULL;
Retrieve the staff directory for user_id '54321' and created_at is not null.,SELECT * FROM staff_directory WHERE user_id = '54321' AND created_at IS NOT NULL;
Find assets with asset_type_id '789' and serial_number is not null.,SELECT * FROM assets WHERE asset_type_id = '789' AND serial_number IS NOT NULL;
Get hazards associated with pharmacies_id '65432' and description is not empty.,SELECT * FROM hazards WHERE pharmacies_id = '65432' AND description <> '';
