question,sql
How many States have an Indian population of 30947?,SELECT COUNT Filipino FROM table WHERE Indian = 30947
What is the highest Indian population?,SELECT MAX Indian FROM table
What is Australia's role in the UN operation Unama?,SELECT Australian role FROM table WHERE UN Operation name = UNAMA
"What is the UN operation title with the UN operation name, Uncok?",SELECT UN Operation title FROM table WHERE UN Operation name = UNCOK
How many Australians were in the UN commission on Korea?,SELECT COUNT Number of Australians involved FROM table WHERE UN Operation title = UN Commission on Korea
When was it where 65 Australians were involved in the UN?,SELECT Dates of Australian involvement FROM table WHERE Number of Australians involved = 65
What year is the season with the 10.73 million views?,SELECT TV season FROM table WHERE Viewers (millions) = 10.73
What is the season year where the rank is 39?,SELECT TV season FROM table WHERE Rank = 39
What is the number of season premieres were 10.17 people watched?,SELECT COUNT Season premiere FROM table WHERE Viewers (millions) = 10.17
What is the year of the season that was 12?,SELECT TV season FROM table WHERE Season = 12
In 2012 what was the average finish?,SELECT Avg. Finish FROM table WHERE Year = 2012
How many wins happened in 1983?,SELECT MIN Wins FROM table WHERE Year = 1983
How many top tens had an average start of 29.4?,SELECT COUNT Top 10 FROM table WHERE Avg. Start = 29.4
How many poles had an average finish of 19.1?,SELECT MAX Poles FROM table WHERE Avg. Finish = 19.1
How many starts did Hendrick motorsports have?,SELECT MIN Starts FROM table WHERE Team(s) = Hendrick Motorsports
NHL players are all centre in Florida panthers.,SELECT Player FROM table WHERE Position = Centre AND NHL team = Florida Panthers
NHL team player San Jose Sharks is United States nationally.,SELECT Player FROM table WHERE NHL team = San Jose Sharks AND Nationality = United States
All players are position mark polak.,SELECT Position FROM table WHERE Player = Mark Polak
Position in nhl team centre are all smaller pick than 243.0,SELECT NHL team FROM table WHERE Position = Centre AND Pick < 243.0
What college/junior/club teams do the players from the St. Louis Blues come from?,SELECT College/junior/club team FROM table WHERE NHL team = St. Louis Blues
What teams do the players from TPS (Finland) play for?,SELECT NHL team FROM table WHERE College/junior/club team = TPS (Finland)
What high school team did Doug Nolan play for?,SELECT College/junior/club team FROM table WHERE Player = Doug Nolan
What club team is Per Gustafsson play for?,SELECT College/junior/club team FROM table WHERE Player = Per Gustafsson
What is the nationality of Shayne Wright?,SELECT Nationality FROM table WHERE Player = Shayne Wright
How many votes did Southern England cast whilst Northern Ireland cast 3?,SELECT Southern England FROM table WHERE Northern Ireland = 3
What was the lowest number of votes Scotland cast?,SELECT MIN Scotland FROM table
What is the total number of votes if Scotland cast 35?,SELECT COUNT Scotland FROM table WHERE Total = 35
How many votes did Northern Ireland cast if the total was 35?,SELECT Northern Ireland FROM table WHERE Total = 35
How many votes did Wales cast when Northern England cast 6?,SELECT MIN Wales FROM table WHERE Northern England = 6
What teams had 9 in the top 5 and 1 wins?,SELECT Team(s) FROM table WHERE Top 5 = 9 AND Wins = 1
What teams did the player vadim sharifijanov play for?,SELECT College/junior/club team FROM table WHERE Player = Vadim Sharifijanov
What positions do the hartford whalers nhl team have?,SELECT Position FROM table WHERE NHL team = Hartford Whalers
"What is the smallest pick for the player, brett lindros?",SELECT MIN Pick FROM table WHERE Player = Brett Lindros
"What positions does the college/junior/club team, molot perm (russia) have?",SELECT Position FROM table WHERE College/junior/club team = Molot Perm (Russia)
The nhl team new york islanders is what nationality?,SELECT Nationality FROM table WHERE NHL team = New York Islanders
What is the name of the vacator for district Louisiana 1st?,SELECT Vacator FROM table WHERE District = Louisiana 1st
What is the notion when the crystal structure is tetragonal and the formula is bi 2 sr 2 cacu 2 o 8,SELECT Notation FROM table WHERE Crystal structure = Tetragonal AND Formula = Bi 2 Sr 2 CaCu 2 O 8
How many times is the formula tl 2 ba 2 cuo 6?,SELECT No. of Cu-O planes in unit cell FROM table WHERE Formula = Tl 2 Ba 2 CuO 6
What is the crystal structure for the formula yba 2 cu 3 o 7?,SELECT Crystal structure FROM table WHERE Formula = YBa 2 Cu 3 O 7
What is the number for t c (k) when the notation is tl-2212?,SELECT COUNT T c (K) FROM table WHERE Notation = Tl-2212
How many 2010 estimations have been done in the city of Cremona?,SELECT COUNT 2010 Est. FROM table WHERE City = Cremona
What's the 2001 census of the region of Abruzzo where the 1871 census is bigger than 51092.0?,SELECT MIN 2001 Census FROM table WHERE Region = Abruzzo AND 1981 Census > 51092.0
What's the 1991 census of the city of Carpi?,SELECT MAX 1991 Census FROM table WHERE City = Carpi
How many 2001 censuses are there on number 13?,SELECT COUNT 2001 Census FROM table WHERE # = 13
What's the 1981 census of Livorno?,SELECT 1981 Census FROM table WHERE City = Livorno
Which NHL team has player Mike Loach?,SELECT NHL team FROM table WHERE Player = Mike Loach
What is the NHL team that has Peter Strom?,SELECT NHL team FROM table WHERE Player = Peter Strom
What team is Keith Mccambridge on?,SELECT College/junior/club team FROM table WHERE Player = Keith McCambridge
How many nationalities are the pick 193?,SELECT COUNT Nationality FROM table WHERE Pick = 193
"Who was the succesor that was formally installed on November 8, 1978?","SELECT Successor FROM table WHERE Date of successors formal installation = November 8, 1978"
How many songs received a 10 from Goodman and were rated by Tonioli?,SELECT COUNT Tonioli FROM table WHERE Goodman = 10
"What score did Goodman give to all songs with safe results, which received a 7 from Horwood and have a total score of 31?",SELECT Goodman FROM table WHERE Total = 31 AND Horwood = 7 AND Result = Safe
"What score did Dixon give to the song ""samba / young hearts run free"", which was in second place?",SELECT Dixon FROM table WHERE Dance/song = Samba / Young Hearts Run Free AND Result = Second place
"How many scores did Goodman give to ""samba / young hearts run free"", which was in second place?",SELECT COUNT Goodman FROM table WHERE Result = Second place AND Dance/song = Samba / Young Hearts Run Free
What year was number 7 built?,SELECT Year Built FROM table WHERE No. Built = 7
What is we two when the case/suffix is loc.?,SELECT we two FROM table WHERE Case/Suffix = loc.
What is them two (the two) when we two is ngalbelpa?,SELECT them two (the two) FROM table WHERE we two = ngalbelpa
What is them two (the two) when you and i is ngœbalngu?,SELECT them two (the two) FROM table WHERE you and I = ngœbalngu
What is who-two where you and i is ngœban?,SELECT who-two FROM table WHERE you and I = ngœban
What is we two where you two is ngipen?,SELECT we two FROM table WHERE you two = ngipen
What is who-two when you two is ngipelngu?,SELECT who-two FROM table WHERE you two = ngipelngu
what's the points with driver  mark martin,SELECT Points FROM table WHERE Driver = Mark Martin
what's the points with driver  rusty wallace,SELECT Points FROM table WHERE Driver = Rusty Wallace
what's the total number of position with driver  robby gordon,SELECT COUNT Position FROM table WHERE Driver = Robby Gordon
"what's the maximum position with winnings  $50,000","SELECT MAX Position FROM table WHERE Winnings = $50,000"
What actor was nominted for an award in the film Anastasiya Slutskaya?,SELECT Actors Name FROM table WHERE Film Name = Anastasiya Slutskaya
What was the film Falling up nominated for?,SELECT Nomination FROM table WHERE Film Name = Falling Up
What is the name of the actress that was nominated for best actress in a leading role in the film Chopin: Desire for love?,SELECT Actors Name FROM table WHERE Film Name = Chopin: Desire for Love AND Nomination = Best Actress in a Leading Role
What is the name of the actress that was nominated for best actress in a leading role in the film Chopin: Desire for love?,SELECT Actors Name FROM table WHERE Film Name = Chopin: Desire for Love AND Nomination = Best Actress in a Leading Role
Which films does the actor Alla Sergiyko star in?,SELECT Film Name FROM table WHERE Actors Name = Alla Sergiyko
Which nominations was the film 27 Stolen Kisses nominated for?,SELECT Nomination FROM table WHERE Film Name = 27 Stolen Kisses
Which actor from Serbia was nominated for best actor in a supporting role?,SELECT Actors Name FROM table WHERE Nomination = Best Actor in a Supporting Role AND Country = Serbia
Vsevolod Shilovskiy is from what country?,SELECT Country FROM table WHERE Actors Name = Vsevolod Shilovskiy
Which nominations are connected to the film Totalitarian Romance?,SELECT Nomination FROM table WHERE Film Name = Totalitarian Romance
Srdjan Dragojevic worked on a film which earned what nomination?,SELECT Nomination FROM table WHERE Director = Srdjan Dragojevic
Which actors are from Ukraine?,SELECT Actors Name FROM table WHERE Country = Ukraine
What was the film that vadim ilyenko directed?,SELECT Film Name FROM table WHERE Director = Vadim Ilyenko
What was the actors name that vadim ilyenko directed?,SELECT Actors Name FROM table WHERE Director = Vadim Ilyenko
What was the actors name for fuchzhou and nomination was best non-professional actor?,SELECT Actors Name FROM table WHERE Film Name = Fuchzhou AND Nomination = Best Non-Professional Actor
What film did michaylo ilyenko make with best actor in a supporting role?,SELECT Film Name FROM table WHERE Director = Michaylo Ilyenko AND Nomination = Best Actor in a Supporting Role
What was the actor's name for best debut?,SELECT Actors Name FROM table WHERE Nomination = Best Debut
What was the number of nominations for natalia raskokoha?,SELECT COUNT Nomination FROM table WHERE Actors Name = Natalia Raskokoha
What is the highest value of Total Goals?,SELECT MAX Total Goals FROM table
When FA Cup Apps is 9 what is the smallest number of FA Cup Goals?,SELECT MIN FA Cup Goals FROM table WHERE FA Cup Apps = 9
What is the smallest number of Total Goals?,SELECT MIN Total Goals FROM table
What circuit was the race where Hideki Mutoh had the fastest lap?,SELECT Circuit FROM table WHERE Fastest Lap = Hideki Mutoh
"what is the minimum production code with title ""foreign exchange problem / turn about""","SELECT MIN Production code FROM table WHERE Title = ""Foreign Exchange Problem / Turn About"""
"what is the episode # for title ""the yindianapolis 500 / personality problem""","SELECT Episode # FROM table WHERE Title = ""The Yindianapolis 500 / Personality Problem"""
what is the episode # for production code 227,SELECT Episode # FROM table WHERE Production code = 227
who directed the movie written by is sib ventress / aydrea ten bosch,SELECT Directed by FROM table WHERE Written by = Sib Ventress / Aydrea ten Bosch
"what is the production code with title ""skirting the issue / moon over my yinnie""","SELECT Production code FROM table WHERE Title = ""Skirting the Issue / Moon Over my Yinnie"""
Whatis the number of total goals maximum?,SELECT MAX Total Goals FROM table
HOW MANY TEMPERATURE INTERVALS ARE POSSIBLE TO USE WITH ACRYL? ,SELECT COUNT Temp (°C) FROM table WHERE Adhesive Type = Acryl
How many matches where played with Jim Pugh?,SELECT COUNT Opponents FROM table WHERE Partner = Jim Pugh
What is the score with partner Jim Pugh?,SELECT Score FROM table WHERE Partner = Jim Pugh
"How many matched scored 3–6, 7–6(5), 6–3?","SELECT COUNT Surface FROM table WHERE Score = 3–6, 7–6(5), 6–3"
What is the score of the match with partner Jim Pugh?,SELECT Score FROM table WHERE Partner = Jim Pugh
What year was the championship in Wimbledon (2)?,SELECT Year FROM table WHERE Championship = Wimbledon (2)
What is the score of the match with opponents Gretchen Magers Kelly Jones?,SELECT Score FROM table WHERE Opponents = Gretchen Magers Kelly Jones
How many birthdays does Earl Hanley Beshlin have?,SELECT COUNT Date of birth FROM table WHERE Representative = Earl Hanley Beshlin
"Which politican party has a birthday of November 10, 1880","SELECT Party FROM table WHERE Date of birth = November 10, 1880"
"Which representative has a birthday of January 31, 1866?","SELECT Representative FROM table WHERE Date of birth = January 31, 1866"
What is the Singles W-L for the players named  Laurynas Grigelis?,SELECT Singles W–L FROM table WHERE Player = Laurynas Grigelis
What is the Current singles ranking for the player named Mantas Bugailiškis?,SELECT Current singles ranking FROM table WHERE Player = Mantas Bugailiškis
How many playerd Mrs. Darling in the 1999 Broadway?,SELECT COUNT 1999 Broadway FROM table WHERE Character = Mrs. Darling
Who played Peter Pan in the 1990 Broadway?,SELECT 1990 Broadway FROM table WHERE Character = Peter Pan
Who played in the 1991 Broadway before Barbara McCulloh played the part in the 1999 Broadway?,SELECT 1991 Broadway FROM table WHERE 1999 Broadway = Barbara McCulloh
Who played in the 1990 Broadway after Tom Halloran played the character in the 1955 Broadcast?,SELECT 1990 Broadway FROM table WHERE 1955 broadcast = Tom Halloran
What character did Drake English play in the 1998 Broadway?,SELECT Character FROM table WHERE 1998 Broadway = Drake English
What date was BBC One total viewing greater then 11616996.338225884?,SELECT Broadcast date FROM table WHERE BBC One total viewing > 11616996.338225884
How many years did BBC One rank 20th?,SELECT COUNT Year FROM table WHERE BBC One Rank = 20th
"What year was the BBC two total viewing 7,530,000?","SELECT MIN Year FROM table WHERE BBC Two total viewing = 7,530,000"
 how many ↓ function / genus → with escherichia being espd,SELECT COUNT ↓ Function / Genus → FROM table WHERE Escherichia = EspD
what's the salmonella with escherichia being espd,SELECT Salmonella FROM table WHERE Escherichia = EspD
what's the ↓ function / genus → with shigella being spa32,SELECT ↓ Function / Genus → FROM table WHERE Shigella = Spa32
what's the salmonella with shigella being ipgc,SELECT Salmonella FROM table WHERE Shigella = IpgC
what's the salmonella with escherichia being sepb (escn),SELECT Salmonella FROM table WHERE Escherichia = SepB (EscN)
what's the shigella with yersinia being yscp,SELECT Shigella FROM table WHERE Yersinia = YscP
How many original titles did Marriage Italian-Style have? ,SELECT COUNT Original title FROM table WHERE Film title used in nomination = Marriage Italian-Style
What year was a movie with the original title La Leggenda del Santo Bevitore submitted?,SELECT Year (Ceremony) FROM table WHERE Original title = La leggenda del santo bevitore
"what's the camp with estimated deaths of 600,000","SELECT Camp FROM table WHERE Estimated deaths = 600,000"
what's the operational period with camp  sajmište,SELECT Operational FROM table WHERE Camp = Sajmište
what's the estimated deaths with operational period of 17 march 1942 – end of june 1943,SELECT Estimated deaths FROM table WHERE Operational = 17 March 1942 – end of June 1943
what's the current country of location with operational period  of summer of 1941 to 28 june 1944,SELECT Current country of location FROM table WHERE Operational = Summer of 1941 to 28 June 1944
"what's the occupied territory with estimated deaths of 600,000","SELECT Occupied territory FROM table WHERE Estimated deaths = 600,000"
what's the occupied territory with operational period of may 1940 – january 1945,SELECT Occupied territory FROM table WHERE Operational = May 1940 – January 1945
Which overall pick was traded to the Cleveland Browns?,SELECT Overall FROM table WHERE College = Traded to the Cleveland Browns
Overall pick 240 was a pick in which round?,SELECT Round FROM table WHERE Overall = 240
Which overall pick number went to college at Youngstown State?,SELECT MIN Overall FROM table WHERE College = Youngstown State
What position is played by pick 255 overall?,SELECT Position FROM table WHERE Overall = 255
Which player was chosen in round 17?,SELECT Player name FROM table WHERE Round = 17
The record of 7-3 had the largest attendance of what?,SELECT MAX Attendance FROM table WHERE Record = 7-3
The record of 9-4 was against which opponent?,SELECT Opponent FROM table WHERE Record = 9-4
The game number of 8 had a record of what?,SELECT Record FROM table WHERE Game = 8
What round was Steve Stonebreaker drafted?,SELECT MAX Round FROM table WHERE Player name = Steve Stonebreaker
Who was the top picki n the draft?,SELECT MIN Choice FROM table
What round was Bill Hill drafted?,SELECT Choice FROM table WHERE Player name = Bill Hill
What was the name of the quarterback drafted?,SELECT Player name FROM table WHERE Position = Quarterback
Where is the college where Keith Hartwig plays?,SELECT College FROM table WHERE Player name = Keith Hartwig
What is the name of the linebacker at Illinois college?,SELECT Player name FROM table WHERE Position = Linebacker AND College = Illinois
What is the greatest round of overall 83?,SELECT MAX Round FROM table WHERE Overall = 83
Which round did Tommy Kramer play in>,SELECT Round FROM table WHERE Player name = Tommy Kramer
What is Rice's collage score?,SELECT Overall FROM table WHERE College = Rice
Where does the defensive back position appear first?,SELECT MIN Round FROM table WHERE Position = Defensive Back
What is Bruce Cerone overall?,SELECT MIN Overall FROM table WHERE Player name = Bruce Cerone
Which player went to Emporia State?,SELECT Player name FROM table WHERE College = Emporia State
What is the highest choice?,SELECT MAX Choice FROM table
What college did Bill Cappleman go to?,SELECT College FROM table WHERE Player name = Bill Cappleman
"For the headstamp id of h2, what was the color of the bullet tip?",SELECT Bullet Tip Color FROM table WHERE Headstamp ID = H2
"For the functional type of light ball, what were the other features?",SELECT Other Features FROM table WHERE Functional Type = Light Ball
How many primers annulus colors were there when the color of the bullet tip was white?,SELECT COUNT Primer Annulus Color FROM table WHERE Bullet Tip Color = White
How many bullet tips colors had other features of a blue band on case base?,SELECT COUNT Bullet Tip Color FROM table WHERE Other Features = Blue band on case base
How many touchdowns were scored in the year with a completion percentage of 56.0?,SELECT MIN Touchdowns FROM table WHERE Completion % = 56.0
What number of completions are recorded for the year with 12 games started?,SELECT Completions FROM table WHERE Games started = 12
How many years were there with 348 attempts?,SELECT COUNT Yards FROM table WHERE Attempts = 348
How many characters is by Babs Rubenstein?,SELECT COUNT London FROM table WHERE US Tour = Babs Rubenstein
Which person is in the tronto/broadway and has a uk tour of n/a,SELECT Toronto / Broadway FROM table WHERE UK Tour = n/a
How many people play Frank in London?,SELECT COUNT London FROM table WHERE Character = Frank
Who was Class AAA during the school year of 2000-01?,SELECT Class AAA FROM table WHERE School Year = 2000-01
Who was Class AAA during the same year that Class A was (tie) Apple Springs/Texline?,SELECT Class AAA FROM table WHERE Class A = (tie) Apple Springs/Texline
Who was Class AAAAA during the school year of 1995-96?,SELECT Class AAAAA FROM table WHERE School Year = 1995-96
Who was Class AAA during the same year that Class AAAAA was Brownsville Pace?,SELECT Class AAA FROM table WHERE Class AAAAA = Brownsville Pace
What was the total number of Class AAA during the same year that Class AAA was White Oak?,SELECT COUNT Class AA FROM table WHERE Class AAA = White Oak
"How many records are listed on Friday, May 25?","SELECT COUNT Team record FROM table WHERE Date = Friday, May 25"
"How many opponents were played on Saturday, June 9?","SELECT COUNT Opponent FROM table WHERE Date = Saturday, June 9"
In what week was the first game played at the Commerzbank-Arena?,SELECT MIN Week FROM table WHERE Game site = Commerzbank-Arena
What was the original air date of an episode set in 1544?,SELECT Original air date FROM table WHERE Setting = 1544
How many settings where there for episode 29 of the season?,SELECT COUNT Setting FROM table WHERE No. in series = 29
"Who wrote the episode that was set in winter 1541/february 13, 1542?","SELECT Written by FROM table WHERE Setting = Winter 1541/February 13, 1542"
"What episode number of the season was ""The Northern Uprising""?","SELECT No. in season FROM table WHERE Title = ""The Northern Uprising"""
What is the name of the track that lasts 5:30?,SELECT Track title FROM table WHERE Duration = 5:30
What is the album namethat has the track title Sweetness 甜甜的 (tián tián de)?,SELECT Album name FROM table WHERE Track title = Sweetness 甜甜的 (Tián tián de)
What is the duration of the song where the major instrument is the piano and the date is 2004-02-03?,SELECT Duration FROM table WHERE Major instrument(s) = Piano AND Date = 2004-02-03
What is the total number of lyricist where the lyrics theme is romance and the song lasts 3:50?,SELECT COUNT Lyricist FROM table WHERE Lyrics theme/style = Romance AND Duration = 3:50
What is the major instrument of the song that lasts 4:32? ,SELECT Major instrument(s) FROM table WHERE Duration = 4:32
What is the total number of music genre/style in which the lyrics are a detective story?,SELECT COUNT Music genre/style FROM table WHERE Lyrics theme/style = Detective story
What is the playoffs for the usl pro select league?,SELECT Playoffs FROM table WHERE League = USL Pro Select League
What is the number of the division for the 1st round?,SELECT COUNT Division FROM table WHERE Open Cup = 1st Round
What was the team where series is formula renault 2.0 nec?,SELECT Team FROM table WHERE Series = Formula Renault 2.0 NEC
What is the total number of poles for arden international?,SELECT COUNT Poles FROM table WHERE Team = Arden International
